scenario,replicate,method,topk_precision,topk_recall,set_size,shortfall
exact_bt_mild_shift,17,fixed_target_ci_certified_bt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,17,ss_cbt,0.5,0.5,2.0,0.3333333333333333
exact_bt_mild_shift,18,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,18,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,18,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,18,fixed_target_ci_certified_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,18,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,19,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,19,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,19,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,19,fixed_target_ci_certified_bt,1.0,0.6666666666666666,2.0,0.3333333333333333
exact_bt_mild_shift,19,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,20,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,20,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,20,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,20,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,20,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,21,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,21,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,21,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,21,fixed_target_ci_certified_bt,1.0,0.3333333333333333,1.0,0.6666666666666666
exact_bt_mild_shift,21,ss_cbt,1.0,0.6666666666666666,2.0,0.3333333333333333
