scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,ss_cbt,2-5,-0.1585417229718393,-0.28296195980672845,0.09499478708711387,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-6,-1.9120502964540385,-2.0209217067685,-1.4553233963762424,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-6,-1.9120502964540385,-2.3177506990303236,-1.6487476396160081,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-6,-1.9120502964540385,-2.216581431224845,-1.4710083778899639,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-6,-1.9120502964540385,-2.0681309132026797,-1.619458895912129,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,2-7,-0.7995788579617187,-0.7233126642651114,-0.25735081873900045,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,2-7,-0.7995788579617187,-0.733182315529642,-0.23572765752849031,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,2-7,-0.7995788579617187,-0.7425589506973862,-0.19995184976276004,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,2-7,-0.7995788579617187,-0.5320367807671439,-0.41047401969300235,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-4,-0.15944918740215366,-0.6038601730984308,-0.1332454688148474,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-4,-0.15944918740215366,-0.6330226270590797,-0.12911641734918483,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-4,-0.15944918740215366,-0.752086714174117,-0.18203604980986915,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,3-4,-0.15944918740215366,-0.567387278204522,-0.36673548577946435,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,3-5,-0.08102908494600286,-0.2551351336604532,0.23531306296110693,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,3-5,-0.08102908494600286,-0.3044341088755656,0.25165860491578357,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,3-5,-0.08102908494600286,-0.7977525165571981,-0.143341212737014,0.0,1.0,1.0,0.0
