scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,marginal_bt,4-5,0.07842010245615089,0.12052737282994427,0.5967561983839879,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,4-5,0.07842010245615089,0.06063631906614331,0.603675895125314,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,4-5,0.07842010245615089,-0.31748263487332806,0.3141108076789715,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,4-5,0.07842010245615089,-0.31748263487332806,0.3141108076789715,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,ss_cbt,4-5,0.07842010245615089,-0.6326146558901772,0.6292428286958205,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,4-6,-1.6750884710260485,-1.6016884410319137,-1.05271928494413,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,4-6,-1.6750884710260485,-1.9727083276805075,-1.3037244232042409,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,4-6,-1.6750884710260485,-2.144839679363694,-1.4095650130174486,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,4-6,-1.6750884710260485,-2.144839679363694,-1.4095650130174486,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,4-6,-1.6750884710260485,-2.429093086274803,-1.1253116061063388,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,4-7,-0.5626170325337285,-0.30680533521780184,0.1479792293823889,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,4-7,-0.5626170325337285,-0.3915473245952584,0.12615221395734294,0.0,0.0,0.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,4-7,-0.5626170325337285,-0.7117291711712164,-0.13367720711061648,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,4-7,-0.5626170325337285,-0.7117291711712164,-0.13367720711061648,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,4-7,-0.5626170325337285,-0.9432315595853146,0.09782518130348183,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,5-6,-1.7535085734821996,-1.9775761298243995,-1.3941151673655765,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,5-6,-1.7535085734821996,-2.3213464904621293,-1.6193984746140766,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,5-6,-1.7535085734821996,-2.16961625667645,-1.3814166085103359,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,5-6,-1.7535085734821996,-2.16961625667645,-1.3814166085103359,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,5-6,-1.7535085734821996,-2.456929553392202,-1.0941033117945838,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,marginal_bt,5-7,-0.6410371349898794,-0.6807530909923952,-0.19535658605694992,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,5-7,-0.6410371349898794,-0.7589912258952418,-0.17071609893413114,1.0,1.0,1.0,0.0
