scenario,replicate,radius,method,robust_pair_precision,robust_pair_recall,false_robust_rate,topk_precision,topk_recall,topk_f1,avg_set_size,matched_ci_z
exact_bt_mild_shift,7,0.08,ss_cbt,1.0,0.8571428571428571,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,7,0.18,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.5,1.0,
exact_bt_mild_shift,7,0.18,fixed_target_ci_matched_bt,0.9615384615384616,0.8928571428571429,0.038461538461538464,1.0,0.6666666666666666,0.8,2.0,0.75
exact_bt_mild_shift,7,0.18,ss_cbt,1.0,0.8571428571428571,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,7,0.28,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.5,1.0,
exact_bt_mild_shift,7,0.28,fixed_target_ci_matched_bt,0.9615384615384616,0.8928571428571429,0.038461538461538464,1.0,0.6666666666666666,0.8,2.0,0.75
exact_bt_mild_shift,7,0.28,ss_cbt,1.0,0.8214285714285714,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,7,0.38,fixed_target_ci_certified_bt,1.0,0.8571428571428571,0.0,1.0,0.3333333333333333,0.5,1.0,
exact_bt_mild_shift,7,0.38,fixed_target_ci_matched_bt,0.9615384615384616,0.8928571428571429,0.038461538461538464,1.0,0.6666666666666666,0.8,2.0,0.75
exact_bt_mild_shift,7,0.38,ss_cbt,1.0,0.8214285714285714,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.0,fixed_target_ci_certified_bt,1.0,0.6785714285714286,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.0,fixed_target_ci_matched_bt,1.0,0.9285714285714286,0.0,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,8,0.0,ss_cbt,1.0,0.6785714285714286,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,8,0.08,fixed_target_ci_certified_bt,1.0,0.7307692307692307,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.08,fixed_target_ci_matched_bt,0.9230769230769231,0.9230769230769231,0.07692307692307693,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,8,0.08,ss_cbt,1.0,0.7307692307692307,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,8,0.18,fixed_target_ci_certified_bt,1.0,0.8636363636363636,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.18,fixed_target_ci_matched_bt,0.8461538461538461,1.0,0.15384615384615385,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,8,0.18,ss_cbt,1.0,0.6363636363636364,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,8,0.28,fixed_target_ci_certified_bt,1.0,0.8636363636363636,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.28,fixed_target_ci_matched_bt,0.9523809523809523,0.9090909090909091,0.047619047619047616,1.0,0.6666666666666666,0.8,2.0,1.1
exact_bt_mild_shift,8,0.28,ss_cbt,1.0,0.6363636363636364,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,8,0.38,fixed_target_ci_certified_bt,1.0,0.95,0.0,1.0,1.0,1.0,2.0,
exact_bt_mild_shift,8,0.38,fixed_target_ci_matched_bt,0.9047619047619048,0.95,0.09523809523809523,1.0,1.0,1.0,2.0,1.1
exact_bt_mild_shift,8,0.38,ss_cbt,1.0,0.65,0.0,1.0,1.0,1.0,2.0,
exact_bt_mild_shift,9,0.0,fixed_target_ci_certified_bt,0.75,0.6428571428571429,0.25,0.5,0.3333333333333333,0.4,2.0,
exact_bt_mild_shift,9,0.0,fixed_target_ci_matched_bt,0.7777777777777778,0.75,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,9,0.0,ss_cbt,0.75,0.6428571428571429,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,9,0.08,fixed_target_ci_certified_bt,0.7083333333333334,0.6538461538461539,0.2916666666666667,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.08,fixed_target_ci_matched_bt,0.7307692307692307,0.7307692307692307,0.2692307692307692,0.5,0.5,0.5,2.0,0.35
